track,order,tempo_bpm,beats,onset_env_mean,mfcc_mean,mfcc_std,mfcc_max,centroid_mean,centroid_std,centroid_max,bandwidth_mean,bandwidth_std,bandwidth_max,rms_mean,rms_std,rms_max,danceability,key_strength,inharmonicity,tempo_rnn,downbeat_conf,pitch_std,drum_rms,beat_fscore,spec_rough,spec_flat,vgg0,vgg1,vgg2,vgg3,vgg4,vgg5,vgg6,vgg7,vgg8,vgg9,vgg10,vgg11,vgg12,vgg13,vgg14,vgg15,vgg16,vgg17,vgg18,vgg19,vgg20,vgg21,vgg22,vgg23,vgg24,vgg25,vgg26,vgg27,vgg28,vgg29,vgg30,vgg31,vgg32,vgg33,vgg34,vgg35,vgg36,vgg37,vgg38,vgg39,vgg40,vgg41,vgg42,vgg43,vgg44,vgg45,vgg46,vgg47,vgg48,vgg49,vgg50,vgg51,vgg52,vgg53,vgg54,vgg55,vgg56,vgg57,vgg58,vgg59,vgg60,vgg61,vgg62,vgg63,vgg64,vgg65,vgg66,vgg67,vgg68,vgg69,vgg70,vgg71,vgg72,vgg73,vgg74,vgg75,vgg76,vgg77,vgg78,vgg79,vgg80,vgg81,vgg82,vgg83,vgg84,vgg85,vgg86,vgg87,vgg88,vgg89,vgg90,vgg91,vgg92,vgg93,vgg94,vgg95,vgg96,vgg97,vgg98,vgg99,vgg100,vgg101,vgg102,vgg103,vgg104,vgg105,vgg106,vgg107,vgg108,vgg109,vgg110,vgg111,vgg112,vgg113,vgg114,vgg115,vgg116,vgg117,vgg118,vgg119,vgg120,vgg121,vgg122,vgg123,vgg124,vgg125,vgg126,vgg127,rms_halfspeed,pitch_jitter,popularity,duration_min
All You Had To Do Was Stay (Taylor's Version).wav,1,95.703125,47,0.786102653,1.709581733,37.85606003,87.457901,1706.500457,251.0596819,2519.060704,1544.332718,95.50270879,1911.950624,0.159785762,0.036539473,0.2503196,1.028417945,0.967406273,0.27736935,97.50884434,0.946902136,173.3243151,0.015817292,0.803921569,122796.7953,0.028057819,190.1699,16.757282,152.80096,130.64563,205.64078,96.048546,107.56311,63.92233,116.543686,127.160194,150.70874,81.25728,171.18932,153.28156,80.21359,57.96602,146.96117,138.52428,109.96602,171.56796,65.898056,239.9903,83.38349,91.87379,47.441746,188.14563,175.56311,141.62622,160.57281,155.75243,127.48058,148.62622,111.660194,132.5097,90.62621,122.40777,138.93204,128.05339,165.5,74.88349,177.98544,182.46602,55.936893,163.35437,150.25243,146.17961,127.71359,123.985435,60.00971,146.79611,164.15048,77.597084,103.53883,148.67961,99.56311,123.072815,183.99515,55.247574,93.93689,177.83495,207.08737,133.15048,67.93689,184.7136,178.73787,160.02428,213.06311,82.81068,122.91262,130.95146,132.47572,121.305824,197.8835,180.04369,50.072815,149.08252,139.96602,216.97087,158.84952,87.305824,77.27184,173.56796,209.63107,189.23787,94.97573,119.66991,157.2136,222.88835,147.64563,135.58737,120.47573,80,114.631065,193.37865,72.99515,144.78156,39.461166,55.58738,218.26698,125.69903,190.81068,71.776695,158.08737,41.76699,45.388348,215.97087,165.7136,228.92233,181.80583,194.2864,82.305824,222.33981,87.635925,117.20874,141.06311,151.42233,116.40777,136.06311,127.24272,149.6165,182.15048,175.07767,118.398056,126.26214,218.76698,69.91262,108.18932,255,0.065183423,26.72012085,69,3.22
Bad Blood (Taylor's Version).wav,2,86.1328125,41,0.948899865,-2.082612276,55.05608749,135.3374634,1433.48827,457.9256447,2930.964481,1377.674212,158.8901883,1899.023331,0.123227857,0.052250016,0.256857008,1.233232856,0.973975003,0.270774513,84.72079918,0.96777232,109.981988,0.014430614,0.965058236,131471.7697,0.028801803,189.94221,16.217777,146.95111,138.34222,211.95555,93.22667,103.10667,67.92889,120.53778,114.49333,163.95111,59.204445,201.2,126.524445,80.53333,71.36,117.07111,147.96445,129.54666,201.82222,80.94222,235.09334,98.87111,101.91556,54.76889,163.29778,159.76445,159.77333,174.3689,128.55112,161.71556,154.07556,95.475555,125.08444,49.982224,112.95556,134.73778,140.10222,160.27112,103.54667,169.33778,182.08444,41.515556,169.65778,142.4,126.32,113,99.67555,47.142223,148.87111,145.28444,70.23111,103.64889,143.44,70.937775,136.99556,163.26666,35.07111,100.52889,153.32445,212.52444,126.21333,88.48,161.60889,195.85777,131.66222,220.07556,57.102222,112.54222,104.884445,137.38222,174.0089,189.36,190.61333,82.337776,147.64444,119.702225,185.56444,154.62666,95.31555,75.253334,167.12,234.02667,158.86667,91.653336,141.24889,143.63556,226.39111,148.9289,166.08,62.92889,99.89778,121.248886,210.55112,45.746666,157.62222,31.92,25.346666,223.16,111.64,226.14223,50.99111,189.74222,91.164444,43.27111,205.60889,156.97778,224.74667,192.39555,206.44444,147.13333,227.72444,104.03555,96.32,77.924446,114.746666,144.09778,172.19112,78.075554,146.00444,139.84445,122.58222,112.67555,149.95555,241.04889,83.46667,137.52888,255,0.060511019,26.27353723,69,3.52
Blank Space (Taylor's Version).wav,3,95.703125,45,0.972646058,-5.534918785,53.01252365,128.9890442,1649.433701,462.3123293,3268.050863,1459.108089,152.6029831,2098.608814,0.109812945,0.052945029,0.257511526,1.374533296,0.947158813,0.254817605,95.703125,0.960540576,59.73596909,0.028383724,0.966442953,161902.8439,0.026990106,189.6504,13.138211,140.82927,138.80081,210.89024,101.349594,96.243904,65.308945,125.26423,111.88618,166.82927,57.96748,201.45935,119.95935,69.74797,66.28049,125.808945,146.7683,135.20325,191.0813,89.243904,239.47562,102.085365,103.41057,53.86179,161.86586,162.64227,140.64635,175.82927,112.89024,171.60976,161.91463,98.67073,115.38618,48.80488,110.5813,122.48374,128.7561,167.39838,96.92277,160.46341,190.75203,62.674797,158.98781,153.72357,113.97561,110.81301,95.88618,44.365852,151.88211,152.72765,72.256096,122.47561,141.47154,66.43496,127.243904,160.64635,36.085365,84.98781,158.80487,223.30081,122.191055,107.19919,189.18292,187.90651,115.85366,231.99187,60.569107,114.76423,105.94715,133.09756,159.10976,189.55284,181.21545,76.638214,147.06505,124.38618,195.70325,145.86179,88.23984,60.569107,171.58943,244.53659,162.36179,70.00813,151.28455,144,241.29268,167.97562,197.01627,64.85366,106.72358,120.89838,191.70325,31.829268,158.92276,21.556911,27.670732,239.27235,123.662605,206.49187,30.430895,176.08537,89.97561,47.052845,220.36992,167.54878,237.93495,194.2561,217.13414,156.47968,216.60976,130.59756,77.532524,62.3374,152.39024,156.52846,149.55284,67.15854,176.6626,146.52846,171.65854,58.39431,178.86992,241.8496,70.849594,137.7439,255,0.064533904,29.07085674,76,3.86
Clean (Taylor's Version).wav,4,103.359375,48,0.88881135,0.546280146,58.80659485,169.9937134,1021.31246,243.3506472,1662.495667,1214.699822,159.4277418,1750.212801,0.145391971,0.032973003,0.24258551,1.159742355,0.941606998,0.19025673,103.359375,0.973594333,61.20950626,0.008373289,0.928034372,98154.07428,0.024081822,187.58333,13.788195,158.05556,112.53472,207.32986,99.670135,144.84723,101.27778,117.072914,124.72569,146.48611,88.78472,176.60417,168.70139,83.64931,94.510414,126.704865,147.46527,114.25694,158.94792,43.29514,217.83333,90.15278,86.91319,54.569443,127.548615,169.19792,180.67361,169.00348,132.98264,125.78125,158.3125,106.15972,126.40625,69.454865,120.40278,117.291664,109.486115,161.5868,117.270836,132.17014,198.92708,63.336807,183.00694,139.8507,159.15277,102.795135,123.27778,62.45486,140.30902,132.27777,79.53125,99.048615,178.33333,125.91319,117.77778,159.40625,22.958334,146.44444,188.70833,203.3507,149.39583,57.15625,196.0243,196.67014,173.5243,167.54514,97.84028,146.99306,87.97569,140.69098,170.55208,220.87848,177.54167,72.392365,109.607635,125.760414,200.62848,123.93403,82.13194,134.66667,191.34723,220.76389,148.20833,76.62153,145.45139,149.45139,217.9618,163.98958,100.93056,100.68056,116.25694,140.15973,203.27777,67.197914,166.06598,52.430557,32.52778,201.98264,124.489586,186.86458,95.357635,164.44098,85.22222,60.88889,184.35764,159.8125,238.29167,211.03473,184.55556,61.78125,201.6493,68.00347,73.614586,137.21527,149.32986,114.892365,102.927086,53.927082,101.958336,198.3507,173.70139,75.27778,106.541664,203.69098,41.37153,71.625,255,0.06354858,12.41633022,72,4.52
How You Get The Girl (Taylor's Version).wav,5,117.4538352,45,0.93203932,-4.517049313,49.38175201,119.4183807,1681.249793,347.2248801,3305.684118,1427.016615,118.3634633,1763.385433,0.123994783,0.055187725,0.227540821,1.119944334,0.929654181,0.206391603,120.1853198,0.974989507,56.52225743,0.016681142,0.963414634,94729.71184,0.027242145,189.42586,15.387833,152.17871,131.81749,204.96577,93.55513,109.31179,65.44487,119.92776,102.988594,136.55893,79.25475,168.88213,148.9962,73.456276,61.85171,150.25475,149.58936,105.55133,162.327,67.13688,240.53992,88.4981,96.34601,47.741444,171.95058,173.14449,129.46008,162.18631,129.82509,136.36122,159.58936,100.011406,132.39543,72.80608,112.357414,124.63118,131.45247,173.14828,62.38023,165.06844,177.66159,50.889732,155.13309,157.45627,134.3232,126.06844,118.90114,53.6692,142.34981,152.52852,88.69962,105.65019,157.97719,97.42966,114.45247,176.34601,56.954372,73.57034,177.52092,216.87833,156.80228,73.543724,204.54753,204.18251,154.5133,210.70723,65.228134,142.26616,112.84791,124.988594,138.10266,202.02661,173.21292,65.68441,114.11027,120.9962,224.97719,165.09125,67.52852,73.038025,168.13309,207.61217,184.14828,68.87833,125.224335,144.14069,219.65779,175.63498,142.3346,94.463875,74.882126,137.76045,186.64258,83.92396,158.3346,38.22053,72.14829,226.8403,135.62358,185.88974,43.46388,145.09886,71.04943,30.80228,203.80989,163.81749,237.61597,168.6692,200.09506,101.45247,211.80228,64.15209,123.06084,111.36121,156.30418,152.35742,132.24335,97.85171,149.9924,198.05704,191.47148,104.460075,150.85551,224.22433,76.52852,103.463875,255,0.067280516,30.23055535,67,4.13
I Know Places (Taylor's Version).wav,6,161.4990234,78,0.84889096,-2.471089602,46.17566681,116.9370422,1473.949158,293.5419826,2722.612138,1379.951796,119.3401688,1854.452813,0.126414478,0.042041555,0.236618444,1.155436516,0.833315909,0.220112309,161.4990234,0.976469571,98.55791965,0.01606334,0.743259086,115316.3897,0.027785007,190.6842,15.4258375,151.98087,126.65072,208.40192,88.253586,125.239235,83.56459,109.79426,97.660286,124.87081,62.4689,188.38278,169.0287,70.5933,86.63636,139.30621,159.03828,107.382774,155.4689,65.75598,231.61244,101.48325,84.545456,37.31579,140.44019,157.88516,147.13876,167.98087,122.37799,142.21053,169.78468,108.11961,120.39713,46.114834,115.44976,120.30622,120.00957,183.98087,97.89474,144.54066,172.51674,48.31579,162.99043,141.34929,131.17703,111.0622,103.22009,33.708134,147.77034,147.39235,69.08612,106.23445,161.55502,82.61244,131.35886,163.95694,43.00957,82.574165,173.7177,210.83733,164.04785,75.066986,200.62201,179.60765,143.22966,192.2823,73.1579,137.32057,91.86603,115.48804,156.19139,207.48804,170.09091,87.8421,73.933014,118.97129,223.66507,145.40192,59.8756,73.43541,185.5311,223.04785,163.10527,67.08134,143.32057,156.77512,228.8469,177.57416,139.5024,67.14832,98.11483,155.38278,182.95215,66.84689,210.82297,55.69378,32.062202,204.51674,156,190.90431,56.162678,169.92345,114.497604,52.25359,199.87082,159.57895,218.60765,183.91866,184.42584,84.44976,205.81818,70.79426,94.4689,133.62201,137.75598,184.05742,110.210526,45.736843,132.90431,199.42584,199.83733,101.90909,161.96172,222.85167,81.52153,100.61244,255,0.066514336,15.91818824,67,3.26
I Wish You Would (Taylor's Version).wav,7,117.4538352,59,0.692918599,-0.271194875,41.7253952,94.33571625,1551.080407,314.9149057,3538.550029,1418.298002,109.1392462,1830.479927,0.149104878,0.04785319,0.24194397,1.040207744,0.96627599,0.255119979,117.4538352,0.955019188,28.02184462,0.012741633,0.951100244,112515.1567,0.032706864,190.52036,21.126698,154.07692,134.99547,212.58824,76.29412,108.80995,59.47059,108.624435,102.74208,136.6199,70.049774,162.0181,165.30316,89.89593,59.791855,159.3801,161.40271,84.59276,164.93665,82.995476,231.8733,82.17194,92.99095,44.357468,177.30316,161.85521,144.46153,157.82353,150.90498,154.99095,149.7104,87.13575,135.15837,72.98643,133.25339,114.330315,144.34842,174.11765,78.66064,169.24434,150.53847,44.88688,138.89594,153.51584,143.819,123.84615,115.40272,49.97285,171.67421,170.35294,77.14932,78.96832,162.80995,83.75565,125.53846,178.41629,58.040726,60.393665,159.2715,207.13574,177.85973,70.38914,173.1629,202.0181,144.76923,176.44344,61.91403,153.33937,94.26697,133.41176,135.79185,209.11313,190.73756,85.19005,89.64253,110.466064,209.80995,162.13123,63.081448,82.19005,160.85068,175.80544,181.99095,108.57014,125.34842,155.76471,199.17647,161.17195,98.47059,87.66064,72.33484,142.13574,223.10406,95.38461,174.70135,57.04525,71.22172,221.11313,108.82806,213.29411,77.43891,172.7285,77.22172,25.524887,219.62895,144.95476,211.82353,169.57013,199.0905,100.39819,230.71494,54.683258,144.9819,143.35747,121.08145,166.63348,143.44797,79.70588,128.62895,209.28055,144.40724,155.64706,130.50226,235.14932,99.97738,77.08145,255,0.068737164,23.7599551,67,3.46
Is It Over Now_ (Taylor's Version) (From The Vault).wav,8,99.38401442,48,0.793084025,1.116924047,54.67458344,211.5825195,1145.422959,331.5033938,2102.536144,1274.512623,201.7141722,1779.119896,0.128598139,0.022773182,0.192837656,1.119777203,0.91710335,0.235645935,99.38401442,0.965681915,27.57567484,0.010145059,0.843273232,98369.36815,0.027771492,186.08197,19.434425,157.61885,123.922134,207.54099,64.81967,128.30328,84.13934,112.06148,111.22951,140.97131,74.315575,155.39754,170.40164,92.12705,92.77459,150.70493,147.55737,101.21311,166.2418,56.856556,223.90573,90.491806,88.22951,63.05328,147.06967,166.21721,162.86066,154.84016,155.25,137.2582,124.934425,91.803276,124.70492,70.94262,128.04099,141.86885,108.590164,155.5082,100.159836,148.41394,178.12704,53.991802,157.42213,155.64754,149.84016,120.52459,106.79918,75.016396,172.55737,171.06557,66.13115,103.22541,154.87296,118.31967,135.03279,171.2377,34.918034,104.37295,161.61476,168.39345,171.59016,53.729507,148.96312,202.86885,175,181.04918,97.13525,149.5082,99.13115,114.88525,147.63524,215.2459,180.7295,83.71311,102.85656,123.40164,193.4754,159.13524,81.258194,113.10246,178.84836,172.14754,169.12704,106.909836,131.0123,163.0205,194.29918,137.94672,99.21722,64.233604,95.62705,157.78279,197.20082,112.540985,162.7254,79.959015,55.967213,186.4918,127.184425,225.31967,94.57377,178.86476,117.40164,60.885246,208.38115,108.659836,193.12704,171.17213,163.55328,100.11066,211.63934,50.663933,136.38115,171.18033,99.741806,163.93852,130.34836,64.84426,109.22131,190.86885,129.43033,115.86066,112.491806,238.41803,79.31148,69.47541,255,0.068398342,27.51464514,76,3.82
New Romantics (Taylor's Version).wav,9,123.046875,59,0.750788808,-2.659351587,41.769104,134.6042633,1678.155182,345.4849662,2510.131311,1491.241836,142.9375799,1889.029108,0.120643571,0.044384524,0.220025599,1.120897293,0.924961269,0.384246916,123.046875,0.973018675,102.3602386,0.013260249,0.869169511,92665.33742,0.027887484,187.23265,19.469387,145.61633,125.74694,216.50612,83.79592,98.27755,71.23673,118.314285,117.6,160.77959,70.3551,155.40408,165.31429,78.29796,50.946938,175.5551,155.91837,95.106125,155.7306,82.66939,236.3755,84.53469,89.963264,49.595917,175.05714,186.9796,135.21632,151.68979,147.46123,142.49388,127.85306,94.60408,121.75102,80,153.71837,115.38776,131.23674,152.8449,81.87347,138.03673,164.78368,73.71429,142.61224,129.95918,127.03265,140.54286,127.23265,52.636734,175.52654,169.75919,84.665306,123.893875,134.20409,96.44082,106.60816,176.08163,43.216328,83.081635,148.44897,197.86938,132.70204,98.9102,176.48572,195.85715,161.8204,184.9102,66.05306,154.83673,107.5551,141.78368,115.76735,207.1755,180.22858,94.94694,125.893875,112.23265,198.42448,155.19183,77.38776,97.26939,180.86531,176.25714,150.0898,107.16734,128.27347,165.8898,205.14694,149.76735,140.71428,68.220406,76.70612,145.11429,185.36734,73.734695,153.74693,50.379593,82.95918,229.13878,123.57959,215.38776,57.269386,149.20409,64.88571,49.77959,225.07347,168.52654,240.33878,189.73877,206.86122,138.86531,210.79591,78.640816,137.93062,124.408165,119.14286,131.40816,147.27756,75.86122,124.08572,200.8204,172.42448,126.24898,119.92653,237.70612,53.97551,69.20408,255,0.065131985,14.61368445,73,3.84
Now That We Don't Talk (Taylor's Version) (From The Vault).wav,10,112.3471467,52,0.958461106,-1.48736763,64.04813385,143.3973236,1166.768193,299.9627266,2052.912246,1302.506128,190.1937235,1954.032296,0.100233354,0.037011389,0.186240375,1.003608942,0.894163847,0.1948504,109.9567819,0.974718957,104.4479617,0.010946797,0.950191571,133058.3568,0.043105155,186.40764,19.43312,161.38217,116.8344,216.08917,97.05733,116.23567,83.821655,121.52229,134.94267,161.15286,99.73248,154.6051,164.35031,95.0637,56.407642,155.47134,156.67516,122.394905,168.38217,55.127388,198.0191,83.0637,74.248405,59.382164,133.7707,190.20383,187.71338,147.7707,150.19109,126.324844,138.15286,93.63057,133.64331,99.592354,150.54778,102.52866,129.93631,159.38853,132.32484,137.54778,175.90446,75.541405,144.05733,163.45222,159.8726,111.974525,118.8344,67.71974,159.72612,151.17198,74.05096,103.85987,151.80255,106.248405,96.751595,160.40764,26.802547,121.52866,176.64969,203.28662,162.293,44.35032,147.0191,210.0191,177.43948,172.02548,74.6879,164.63695,93.78344,139.17198,151.9809,231.8726,164.64331,77.54777,124.80255,130.25478,214.72612,104.71974,88.57962,117.382164,164.08281,205.17834,152.91083,123.401276,157.57324,153.293,198.17198,141.04459,100.15923,73.242035,111.87261,135.18471,214.34395,73.66879,171.15924,61.089172,65.35032,215.80891,120.07643,219.03822,113.26115,150.5414,59.31847,55.0828,230.50319,119.6879,231.08281,214.49681,166.03185,54.77707,193.07643,39.23567,92.8344,172.43948,136.77707,104.42675,123.6879,80.0828,88.85987,163.57962,126.57962,98.73248,101.242035,211.26752,74.45223,35.191082,255,0.055260986,12.03511139,76,2.44
